Datum melding,Locatie aanval,Provincie,Prooidier,Dood,Gewond,Vermist,Geeuthanaseerd,Totaal aantal dode slachtoffers,Diersoort,Individu,Voldoet aan adviesnorm,Eventuele gebreken, Bedrag uitbetaling 
29-02-24,Nunspeet,Gelderland,Scha(a)p(en),3,,,,3,wolf,onbekend,Nee,, € -   
28-02-24,Doornspijk,Gelderland,Scha(a)p(en),3,1,,,3,wolf,GW3694f?,Nee,, € -   
27-02-24,Papenvoort,Drenthe,Scha(a)p(en),4,,3,3,7,wolf,GW3874m,Nee,, € -   
26-02-24,Emst,Gelderland,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
25-02-24,Oosterwolde,Fryslân,Scha(a)p(en),1,,4,1,2,wolf,GW3690m,Nee,, € -   
25-02-24,Wolfheze,Gelderland,Scha(a)p(en),22,4,,,22,wolf,GW2435m; gemixt profiel,Nee,, € -   
24-02-24,Vinkega,Fryslân,Scha(a)p(en),1,,,,1,wolf,onbekend,Nee,, € -   
24-02-24,Grolloo,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW3874m,Nee,, € -   
24-02-24,Noordwolde,Fryslân,Scha(a)p(en),1,,,,1,wolf,GW3813m,Nee,, € -   
24-02-24,Oosterwolde,Fryslân,Scha(a)p(en),3,,,,3,wolf,GW3690m,Nee,, € -   
24-02-24,Noordwolde,Fryslân,Scha(a)p(en),1,,,,1,wolf,GW3813m,Nee,, € -   
23-02-24,Paterswolde,Drenthe,Scha(a)p(en),1,,,,1,wolf,GW3812m,Nee,, € -   
23-02-24,t Harde,Gelderland,Scha(a)p(en),1,,,,1,wolf,GW3694f,Nee,, € -   
23-02-24,Emst,Gelderland,Scha(a)p(en),3,4,,,3,wolf,GW4077f,Nee,, € -   
22-02-24,Emst,Gelderland,Scha(a)p(en),3,,,,3,wolf,onbekend,Nee,, € -   
22-02-24,Roden,Drenthe,Scha(a)p(en),4,1,,1,5,wolf,GW3815f,Nee,, € -   
22-02-24,De Heurne,Gelderland,Scha(a)p(en),,1,,,0,wolf,GW3155m,Nee,, € -   
