Datum waarneming;Leefgebied of gemeente;Provincie;Type waarneming;Classificering,
20-11-22;Zuidwest-Veluwe;Gelderland;Wolf gezien;C1,
19-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
19-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
18-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
18-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
18-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
17-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
17-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
17-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
17-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
17-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
17-11-22;Heerde;Gelderland;Wolf gezien;C1,
16-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
16-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
15-11-22;Heerde;Gelderland;Wolf gezien;C1,
15-11-22;Westerveld;Drenthe;Wolvenkeutel;C2,
14-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
14-11-22;Ede;Gelderland;Wolf gezien;C1,
14-11-22;Geertruidenberg;Noord-Brabant;Wolf gezien;C1,
13-11-22;De Groote Heide;Noord-Brabant;Wolf gezien;C1,
13-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
13-11-22;Noord- en Midden-Veluwe;Gelderland;Wolvenkeutel;C2,
11-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
11-11-22;Ede;Gelderland;Wolf gezien;C1,
09-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
09-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
08-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
08-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
08-11-22;Noord- en Midden-Veluwe;Gelderland;Wolf gezien;C1,
